target_vol,dd_floor,full_sr,full_cagr,full_mdd,oos_sr,oos_cagr
0.15,-0.1,0.7997,0.1573,-0.389,0.8698,0.183
0.15,-0.12,0.7997,0.1573,-0.389,0.8698,0.183
0.15,-0.15,0.7997,0.1573,-0.389,0.8698,0.183
0.15,-0.2,0.7997,0.1573,-0.389,0.8698,0.183
0.15,-0.25,0.7997,0.1573,-0.389,0.8698,0.183
0.2,-0.1,0.7997,0.1573,-0.389,0.8698,0.183
0.2,-0.12,0.7997,0.1573,-0.389,0.8698,0.183
0.2,-0.15,0.7997,0.1573,-0.389,0.8698,0.183
0.2,-0.2,0.7997,0.1573,-0.389,0.8698,0.183
0.2,-0.25,0.7997,0.1573,-0.389,0.8698,0.183
0.25,-0.1,0.7997,0.1573,-0.389,0.8698,0.183
0.25,-0.12,0.7997,0.1573,-0.389,0.8698,0.183
0.25,-0.15,0.7997,0.1573,-0.389,0.8698,0.183
0.25,-0.2,0.7997,0.1573,-0.389,0.8698,0.183
0.25,-0.25,0.7997,0.1573,-0.389,0.8698,0.183
0.3,-0.1,0.7997,0.1573,-0.389,0.8698,0.183
0.3,-0.12,0.7997,0.1573,-0.389,0.8698,0.183
0.3,-0.15,0.7997,0.1573,-0.389,0.8698,0.183
0.3,-0.2,0.7997,0.1573,-0.389,0.8698,0.183
0.3,-0.25,0.7997,0.1573,-0.389,0.8698,0.183
0.35,-0.1,0.7997,0.1573,-0.389,0.8698,0.183
0.35,-0.12,0.7997,0.1573,-0.389,0.8698,0.183
0.35,-0.15,0.7997,0.1573,-0.389,0.8698,0.183
0.35,-0.2,0.7997,0.1573,-0.389,0.8698,0.183
0.35,-0.25,0.7997,0.1573,-0.389,0.8698,0.183
