label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx,basket,family,window
invvol core6 lb=63,3835,28.36,33.27,-60.74,0.92,0.47,44.7,core6,invvol,2011-2026
invvol core6 lb=126,3835,28.48,33.3,-61.48,0.92,0.46,45.3,core6,invvol,2011-2026
mom top3 core6 lb=126,3835,34.75,48.15,-71.12,0.86,0.49,93.6,core6,mom,2011-2026
mom top4 core6 lb=126,3835,32.86,47.52,-72.64,0.84,0.45,75.5,core6,mom,2011-2026
mom top5 core6 lb=126,3835,32.6,43.52,-70.62,0.87,0.46,73.3,core6,mom,2011-2026
invvol tech4 lb=63,3835,34.35,60.72,-77.32,0.79,0.44,89.5,tech4,invvol,2011-2026
invvol tech4 lb=126,3835,35.93,60.43,-77.36,0.81,0.46,106.9,tech4,invvol,2011-2026
mom top3 tech4 lb=126,3835,37.96,63.39,-78.02,0.83,0.49,133.9,tech4,mom,2011-2026
mom top4 tech4 lb=126,3835,36.79,63.28,-79.44,0.82,0.46,117.7,tech4,mom,2011-2026
invvol long_noenergy lb=63,3835,18.14,27.22,-58.24,0.75,0.31,12.6,long_noenergy,invvol,2011-2026
invvol long_noenergy lb=126,3835,18.42,27.34,-58.05,0.76,0.32,13.1,long_noenergy,invvol,2011-2026
mom top3 long_noenergy lb=126,3835,12.11,47.17,-70.64,0.48,0.17,5.7,long_noenergy,mom,2011-2026
mom top4 long_noenergy lb=126,3835,15.02,43.87,-74.71,0.54,0.2,8.4,long_noenergy,mom,2011-2026
mom top5 long_noenergy lb=126,3835,16.05,41.52,-74.71,0.57,0.21,9.6,long_noenergy,mom,2011-2026
invvol long_defensiv lb=63,3835,3.89,23.34,-65.27,0.28,0.06,1.8,long_defensiv,invvol,2011-2026
invvol long_defensiv lb=126,3835,2.43,23.24,-66.24,0.22,0.04,1.4,long_defensiv,invvol,2011-2026
mom top3 long_defensiv lb=126,3835,2.37,26.37,-62.98,0.22,0.04,1.4,long_defensiv,mom,2011-2026
mom top4 long_defensiv lb=126,3835,1.85,25.57,-71.32,0.2,0.03,1.3,long_defensiv,mom,2011-2026
invvol all17 lb=63,3835,15.82,27.67,-51.54,0.67,0.31,9.3,all17,invvol,2011-2026
invvol all17 lb=126,3835,16.38,27.75,-51.61,0.69,0.32,10.1,all17,invvol,2011-2026
mom top3 all17 lb=126,3835,12.1,49.66,-63.93,0.48,0.19,5.7,all17,mom,2011-2026
mom top4 all17 lb=126,3835,17.24,45.12,-58.04,0.58,0.3,11.3,all17,mom,2011-2026
mom top5 all17 lb=126,3835,18.12,42.26,-58.19,0.61,0.31,12.6,all17,mom,2011-2026
invvol core6 lb=63,2829,27.24,34.78,-61.13,0.87,0.45,14.9,core6,invvol,2015-2026
invvol core6 lb=126,2829,28.26,35.06,-61.71,0.89,0.46,16.4,core6,invvol,2015-2026
invvol tech4 lb=63,2829,33.12,64.06,-77.34,0.77,0.43,24.8,tech4,invvol,2015-2026
invvol tech4 lb=126,2829,33.35,63.92,-77.39,0.77,0.43,25.3,tech4,invvol,2015-2026
invvol long_noenergy lb=63,2829,15.36,28.21,-58.36,0.65,0.26,5.0,long_noenergy,invvol,2015-2026
invvol long_noenergy lb=126,2829,16.08,28.57,-58.04,0.67,0.28,5.3,long_noenergy,invvol,2015-2026
invvol long_defensiv lb=63,2829,1.12,23.15,-65.32,0.16,0.02,1.1,long_defensiv,invvol,2015-2026
invvol long_defensiv lb=126,2829,1.57,22.91,-66.29,0.18,0.02,1.2,long_defensiv,invvol,2015-2026
invvol all17 lb=63,2829,14.4,28.36,-51.85,0.62,0.28,4.5,all17,invvol,2015-2026
invvol all17 lb=126,2829,16.33,28.65,-51.92,0.67,0.31,5.5,all17,invvol,2015-2026
invvol all17+BTC lb=63,2829,16.93,27.89,-52.22,0.7,0.32,5.8,all17+BTC,invvol,2015-2026
invvol all17+BTC lb=126,2829,18.75,28.21,-51.91,0.75,0.36,6.9,all17+BTC,invvol,2015-2026
invvol core6 lb=63,2074,27.28,37.61,-60.77,0.83,0.45,7.3,core6,invvol,2018-2026
invvol core6 lb=126,2074,26.3,37.92,-61.25,0.81,0.43,6.8,core6,invvol,2018-2026
invvol tech4 lb=63,2074,30.84,69.47,-77.31,0.74,0.4,9.1,tech4,invvol,2018-2026
invvol tech4 lb=126,2074,26.82,69.32,-77.35,0.69,0.35,7.1,tech4,invvol,2018-2026
invvol long_noenergy lb=63,2074,14.8,30.15,-58.09,0.61,0.25,3.1,long_noenergy,invvol,2018-2026
invvol long_noenergy lb=126,2074,13.67,30.59,-57.74,0.57,0.24,2.9,long_noenergy,invvol,2018-2026
invvol long_defensiv lb=63,2074,1.54,24.32,-65.15,0.18,0.02,1.1,long_defensiv,invvol,2018-2026
invvol long_defensiv lb=126,2074,1.96,24.24,-66.29,0.2,0.03,1.2,long_defensiv,invvol,2018-2026
invvol all17 lb=63,2074,14.5,30.03,-51.42,0.6,0.28,3.0,all17,invvol,2018-2026
invvol all17 lb=126,2074,14.07,30.39,-51.47,0.59,0.27,3.0,all17,invvol,2018-2026
invvol all17+BTC lb=63,2074,15.81,29.64,-51.79,0.64,0.31,3.3,all17+BTC,invvol,2018-2026
invvol all17+BTC lb=126,2074,15.72,30.01,-51.56,0.64,0.3,3.3,all17+BTC,invvol,2018-2026
invvol all17+BTC+ETH lb=63,2074,16.8,29.8,-52.62,0.67,0.32,3.6,all17+BTC+ETH,invvol,2018-2026
invvol all17+BTC+ETH lb=126,2074,17.1,30.15,-52.07,0.68,0.33,3.7,all17+BTC+ETH,invvol,2018-2026
