lookback,z,rebal,Sharpe,CAGR,MDD,Vol,N,Sharpe_noBorrow,CAGR_noBorrow
63,1.0,5,-1.1007083796540051,-0.10123981563910567,-0.6331393976359834,0.09303062363875646,2218,0.09134043172409188,0.004191482026898008
63,1.0,10,-1.1135286616355673,-0.10203500308197433,-0.6237383369895024,0.09277125301412364,2218,0.06564977703156245,0.001796138403670211
63,1.0,21,-1.091406308457552,-0.10451467665998448,-0.6656778803896272,0.09683393722904927,2218,0.06468597535264728,0.0015874705135638933
63,1.0,42,-1.3411696267409965,-0.12077990039071695,-0.6863926048520987,0.09274767768169735,2218,-0.12568580782005986,-0.015822189012248855
63,1.5,5,-0.8262256660602776,-0.09266899161872455,-0.6505487277314739,0.11032879674944612,2218,0.1320470047179726,0.00853592140680104
63,1.5,10,-0.7801412087434196,-0.09009564862518693,-0.598713498398621,0.1128476731983859,2218,0.15923996485372013,0.011680075008752233
63,1.5,21,-0.7661239107985418,-0.0825197097413729,-0.551830139146806,0.10519342630570097,2218,0.20058521283879013,0.015705395051924587
63,1.5,42,-0.9723493806461835,-0.09764944291442523,-0.620932112501424,0.10046035296474519,2218,0.04800883959549164,-0.00022150383449293098
63,2.0,5,-0.6393187119453639,-0.07845008376034635,-0.5936875359655698,0.11709096721294852,2218,-0.005779112079396904,-0.00747214609446234
63,2.0,10,-0.185768451204603,-0.02893693336439751,-0.3889202493546431,0.11966387494663507,2218,0.441344315054707,0.0467628770788735
63,2.0,21,-0.32447041509259605,-0.04528199357114382,-0.35164227922593183,0.12052574829264347,2218,0.3132724949217485,0.031004871630992303
63,2.0,42,-0.6669300268194488,-0.08048134698467346,-0.5398352724254318,0.11576468002363689,2218,0.004964822661060574,-0.006080337660084645
126,1.0,5,-1.2125499580902181,-0.11187015003823797,-0.6721630991325831,0.09416635918935237,2218,-0.058068803998469386,-0.009846474239010528
126,1.0,10,-1.1482203905180004,-0.10701942871598391,-0.6501516759866341,0.09465874256258046,2218,0.004222410989829033,-0.004066354562937913
126,1.0,21,-1.209208395034333,-0.1092925031363845,-0.6506034825513918,0.09218299056303313,2218,-0.015650528337113508,-0.005669498157918729
126,1.0,42,-1.7115358641131715,-0.1477848484897566,-0.7604942715038292,0.09098777808902998,2218,-0.5193056175900962,-0.05007076793330956
126,1.5,5,-0.9933575388894439,-0.10722126535279086,-0.6729627118705871,0.10825286298020416,2218,-0.05260467703879441,-0.011480712464065568
126,1.5,10,-0.7583390620613898,-0.08593858311335789,-0.6135328201203553,0.11043839764176085,2218,0.15558152410422174,0.011155671397299782
126,1.5,21,-0.9991523970716452,-0.11111014644702155,-0.6697449823909211,0.11162690332354885,2218,-0.13270903693049713,-0.020808584109065942
126,1.5,42,-1.2932463552866746,-0.13304231050381932,-0.7354111939841839,0.10602630911157573,2218,-0.3900337602370837,-0.04585212160491203
126,2.0,5,-0.6207287840849933,-0.07203019929453569,-0.5500677155734979,0.1105789482865546,2218,0.06344729672043,0.0009162086720859719
126,2.0,10,-0.6206742794143815,-0.07169887977187761,-0.5323268594897628,0.11010849162125061,2218,0.051166042472328546,-0.0004063148178924392
126,2.0,21,-0.3093658716063127,-0.038484387688262456,-0.3463535484993988,0.10802911793337831,2218,0.34883385101502984,0.03238581155112796
126,2.0,42,-1.0266623796432452,-0.10127531617889429,-0.6379903547359114,0.09919288559617553,2218,-0.2577882643479289,-0.029984732118889856
